NatashaBertrand,110
,
mollyesque,110
,
IngrahamAngle,109
,
AlexThomp,109
,
LLinWood,107
,
JRehling,107
,
ChrisLu44,107
,
seanhannity,106
,
JoeNBC,106
,
charts_k,106
,
lizzyallover,105
,
keithboykin,105
,
sazzygram3,105
,
jmartNYT,105
,
kurtbardella,104
,
thebr0keb0i,103
,
Mediavenir,103
,
RepCori,103
,
KLoeffler,103
,
RepJasonCrow,102
,
DavidBegnaud,101
,
MTV_vote1,101
,
ericgarland,101
,
RepKatiePorter,101
,
duty2warn,100
,
McFaul,100
,
WajahatAli,100
,
MotherJones,100
,
NickKnudsenUS,99
,
steve_vladeck,99
,
sbg1,99
,
gregolear,99
,
HawleyMO,98
,
JakeSherman,98
,
DGComedy,98
,
votevets,98
,
Timodc,97
,
RawStory,97
,
TimRunsHisMouth,97
,
ErinBrockovich,97
,
meenaharris,97
,
atensnut,97
,
business,96
,
travisakers,95
,
Mikel_Jollett,95
,
carlbernstein,95
,
nct_menfess,94
,
Olivianuzzi,94
,
GOP,94
,
DanaBashCNN,94
,
ACTBrigitte,93
,
EleicoesEUA,93
,
abgutman,93
,
LLinWoodFans,93
,
Acyn,92
,
RepSwalwell,92
,
PattyArquette,92
,
MysterySolvent,91
,
Complex,91
,
justinamash,91
,
TravisAllen02,90
,
davidplouffe,90
,
Gian_Neon,90
,
Dknight10k,90
,
RepMeijer,90
,
ElieNYC,90
,
thedailybeast,89
,
peterbakernyt,89
,
jennycohn1,89
,
jdawsey1,89
,
NYGovCuomo,89
,
rishipuff,89
,
DWUhlfelderLaw,88
,
TomiLahren,88
,
Independent,88
,
SenWhitehouse,88
,
SRuhle,88
,
thomaskaine5,87
,
ruthbenghiat,87
,
bblock29,87
,
SkyNews,87
,
Kevinliptakcnn,87
,
DebraMessing,86
,
JakeLobin,86
,
DavidAFrench,86
,
ScottAdamsSays,85
,
johnpavlovitz,85
,
GaSecofState,85
,
TeamTrump,84
,
KlasfeldReports,84
,
CheriJacobus,84
,
LepapillonBlu,84
,
marcorubio,84
,
DanScavino,84
,
JennaEllisEsq,84
,
OANN,83
,
benegotherit,83
,
EricBoehlert,83
,
joshdcaplan,83
,
ACLU,83
,
paulsperry_,82
,
Ramnier,81
,
MrMichaelBurkes,81
,
OlgaNYC1211,81
,
ThePubliusUSA,80
,
senatemajldr,80
,
nprpolitics,80
,
TheRightMelissa,79
,
DavidJollyFL,79
,
Transition46,79
,
StephenAtHome,79
,
DemocracyDocket,79
,
carlquintanilla,79
,
MichaelSteele,79
,
brianschatz,79
,
jayfIirts,78
,
DearAuntCrabby,78
,
ksorbs,78
,
JohnBrennan,78
,
RepElaineLuria,78
,
davidhogg111,78
,
Rschooley,77
,
AliVelshi,77
,
CNNEE,77
,
QasimRashid,77
,
PhilipRucker,77
,
RepBoebert,77
,
ConElMazoDando,77
,
NotHoodlum,77
,
loonatheworld,77
,
kayleighmcenany,77
,
ColumbiaBugle,76
,
keithedwards,76
,
IvankaTrump,76
,
hakeem_jeffries,76
,
ZackBornstein,76
,
JenniferMills21,75
,
BaddCompani,75
,
Yoder_Esqq,75
,
bradheath,75
,
secupp,75
,
ParkerMolloy,75
,
C_C_Krebs,74
,
EpochTimes,74
,
Lrihendry,74
,
SaraCarterDC,74
,
people4kam,74
,
RepMoBrooks,74
,
kirkacevedo,74
,
BarbaraComstock,73
,
benshapiro,73
,
JuddApatow,73
,
andrewrsorkin,72
,
TX_WalkerRanger,72
,
JoshuaPotash,72
,
BTS_twt,71
,
maddow,71
,
BetoORourke,71
,
danielsgoldman,71
,
jilevin,71
,
Trump_Fact_News,71
,
GOPLeader,71
,
ConorLambPA,71
,
biannagolodryga,71
,
RepDianaDeGette,71
,
RiegerReport,70
,
RonFilipkowski,70
,
RepDanKildee,70
,
ElijahSchaffer,70
,
ScottPresler,69
,
BTSChartDailyx,69
,
ABCPolitics,69
,
adamwinkler,69
,
DanPriceSeattle,69
,
Lancegooden,69
,
leandroruschel,69
,
carriecordero,69
,
PeteButtigieg,69
,
WSJ,68
,
CortesSteve,68
,
AmyKremer,68
,
CapitanBitcoin,68
,
revrrlewis,68
,
Rconstantino,68
,
BrendanKeefe,68
,
ryanstruyk,68
,
sfpelosi,68
,
mrbromwich,68
,
TreasureVotes,67
,
rebeccaballhaus,67
,
SenToomey,67
,
RudyGiuIiani_,67
,
SenJeffMerkley,67
,
drewharwell,67
,
FrenchRainez,66
,
OutOfFucksQueen,66
,
TimAlberta,66
,
RobAnderson2018,66
,
HamillHimself,66
,
CKeirns,66
,
Jillbiden46,65
,
mtracey,65
,
AndrewPollackFL,65
,
brianklaas,65
,
getongab,65
,
TheDweck,65
,
AdamSerwer,65
,
hermanntertsch,65
,
thenation,65
,
RepDean,65
,
Public_Citizen,65
,
gregkellyusa,65
,
Wowwlog,65
,
amandacarpenter,64
,
EWErickson,64
,
iheartmindy,64
,
johncusack,64
,
MichaelSSmithII,64
,
MichaelGarofola,64
,
ElenaBerberana,63
,
Sifill_LDF,62
,
MattWalshBlog,62
,
seungminkim,62
,
robertjdenault,62
,
matthewjdowd,62
,
gatewaypundit,62
,
ajplus,62
,
JustSchmeltzer,62
,
SpanbergerVA07,62
,
cxxks___,62
,
HuffPost,61
,
fred_guttenberg,61
,
jsolomonReports,61
,
RandyRainbow,61
,
USATODAY,61
,
HEBobiwine,61
,
KevinMKruse,61
,
PGA,61
,
johnkruzel,61
,
RepLucyMcBath,61
,
MarshaBlackburn,60
,
BenjySarlin,60
,
BTS_History613,60
,
_puebsand,60
,
01Btsxarmy,60
,
Delavegalaw,60
,
cmclymer,60
,
robjyeo,60
,
TotalWorld1,59
,
Bill_Maxwell_,59
,
AZGOP,59
,
gregpmiller,59
,
WindsorMann,59
,
willchamberlain,59
,
AyannaPressley,59
,
michaeltdresser,59
,
guardian,59
,
SykesCharlie,59
,
JaneMayerNYer,59
,
PrisonPlanet,59
,
JuliaDavisNews,59
,
boopyape,59
,
BerniceKing,59
,
Fago712,59
,
RaquelNPhoto,59
,
KelemenCari,58
,
shannonrwatts,58
,
gaviriajrr,58
,
lrozen,58
,
Zarphus,58
,
AmoneyResists,58
,
silvano_trotta,58
,
kristin__wilson,58
,
GabrielSterling,58
,
JonLemire,58
,
eimzcaomhanach,58
,
bphuang12,58
,
SpiroAgnewGhost,57
,
BetteMidler,57
,
RepDeanPhillips,57
,
mollycrabapple,57
,
burgessev,57
,
BrianKarem,57
,
AndrewSolender,57
,
RepJerryNadler,57
,
sirhottest,57
,
MiaFarrow,56
,
aravosis,56
,
PoliticusSarah,56
,
axios,56
,
kenolin1,56
,
TaraSetmayer,56
,
jemelehill,56
,
NBCPolitics,56
,
RepChrisStewart,56
,
Out5p0ken,56
,
nytmike,56
,
LabyrinthWeaver,55
,
knalquestionese,55
,
lawschoollex,55
,
KaitMarieox,55
,
jacobsoboroff,55
,
MattNegrin,55
,
Perduesenate,55
,
sbattrawden,55
,
jmpalmieri,55
,
ReportsDaNews,54
,
aaronjcarpenter,54
,
tercalivre,54
,
oneunderscore__,54
,
brianbeutler,54
,
lurraelizabeth9,54
,
MichelleObama,54
,
parlertakes,53
,
LisaMarieBoothe,53
,
Twitter,53
,
emrata,53
,
PressSec,53
,
theresinrebelle,53
,
bluestein,53
,
SteveHofstetter,53
,
davidaxelrod,53
,
cspan,53
,
EricGuster,53
,
BolsoTrumpRaiz,53
,
BernardKerik,52
,
GlennKesslerWP,52
,
FogCityMidge,52
,
amvetsupport,52
,
MarkDice,52
,
LouDobbs,52
,
AmyAThatcher,52
,
Schwarzenegger,52
,
oliverdarcy,52
,
richsignorelli,52
,
DavidJHarrisJr,52
,
theangiestanton,51
,
JonathanTurley,51
,
BuzzFeedNews,51
,
MrJonCryer,51
,
RealKyleMorris,51
,
AFPespanol,51
,
dlippman,51
,
BreitbartNews,50
,
perlmutations,50
,
latimes,50
,
PamKeithFL,50
,
DeanObeidallah,50
,
BradleyWhitford,50
,
donmoyn,50
,
marklutchman,50
,
opropriolavo,50
,
AJEnglish,50
,
voxdotcom,50
,
TheDailyEdge,50
,
alfranken,50
,
mtgreenee,50
,
MZHemingway,50
,
EmmaKinery,50
,
lonzobentley,50
,
johnrich,50
,
AFP,49
,
TheBabylonBee,49
,
EvanAKilgore,49
,
OMGno2trump,49
,
MeghUpdates,49
,
TeamGOT7Vote_TH,49
,
AlbertBrooks,49
,
ARMYTEAMIID,49
,
GOPChairwoman,49
,
NewYorkStateAG,49
,
Yahoo,48
,
essenviews,48
,
NikkiHaley,48
,
RepMcGovern,48
,
JesseKellyDC,48
,
dylanobrien,48
,
renato_mariotti,48
,
realpfigueiredo,48
,
AVindman,48
,
Maximus_4EVR,48
,
CawthornforNC,47
,
NickJFuentes,47
,
AnnieGabstonH,47
,
TVietor08,47
,
mitchellreports,47
,
kelliwardaz,47
,
tomiahonen,47
,
jonlovett,47
,
LanaDelRey,47
,
DecisionDeskHQ,47
,
SenSanders,46
,
JohnSmithChgo,46
,
garciabanchs,46
,
VABVOX,46
,
hasanthehun,46
,
KatyTurNBC,46
,
JohnFugelsang,46
,
CarolLeonnig,46
,
johncardillo,46
,
FLOTUS,46
,
Kasparov63,46
,
christina_bobb,46
,
ChristopherHahn,45
,
allanldsantos,45
,
DrGJackBrown,45
,
rosapantin1301,45
,
AgustinLaje,45
,
KatiePavlich,45
,
TheAtlantic,45
,
TrumpFrance,45
,
MaihenH,45
,
MeetThePress,45
,
jonathanvswan,45
,
tonyschwartz,45
,
GarrettHaake,45
,
Fahrenthold,45
,
realLizUSA,45
,
JuliaEAinsley,45
,
dom_dotty,45
,
SenSherrodBrown,45
,
samstein,44
,
Franklin_Graham,44
,
OhNoSheTwitnt,44
,
jayrosen_nyu,44
,
MeghanMcCain,44
,
ariehkovler,44
,
RepKinzinger,44
,
zerohedge,44
,
yasmincnunez,44
,
ZekeJMiller,44
,
realMikeLindell,44
,
ianbremmer,44
,
newtgingrich,44
,
amuse,44
,
weareoneEXO,44
,
mikememoli,44
,
LilyyAlexander,44
,
NormEisen,43
,
NathanLerner,43
,
POTUS,43
,
a_h_reaume,43
,
ShimonPro,43
,
RepKenBuck,43
,
ProudSocialist,43
,
barry_halverson,43
,
riotwomennn,43
,
PartidoPSUV,43
,
jiggyjayy2,43
,
StevenTDennis,43
,
piersmorgan,43
,
jeremynewberger,43
,
MEPFuller,43
,
RepThomasMassie,43
,
JohnFetterman,43
,
ResisterSis20,42
,
chelseahandler,42
,
HotlineJosh,42
,
TheView,42
,
JohnWDean,42
,
PopCrave,42
,
Timcast,42
,
MarkRuffalo,42
,
Taniel,42
,
piyushmittal,42
,
AliFish04411332,42
,
danpfeiffer,42
,
hannah_natanson,42
,
cbeidson,42
,
RepHankJohnson,42
,
santiagomayer_,41
,
mei98862477,41
,
Susan_Hennessey,41
,
VanityFair,41
,
businessinsider,41
,
NormOrnstein,41
,
adamdavidson,41
,
rukitori_,41
,
RepAndyBiggsAZ,41
,
RandyRRQuaid,41
,
TheUSASingers,40
,
brithume,40
,
RonBrownstein,40
,
crossimg_Bot,40
,
TalbertSwan,40
,
ZaleskiLuke,40
,
Forbes,40
,
TimHannan,40
,
MSignorile,40
,
SactoCaNative,40
,
ShannonSharpe,40
,
AlertaNews24,40
,
mccaffreyr3,40
,
scottwongDC,40
,
TheOnion,40
,
RedWingGrips,40
,
NYCMayor,40
,
meiselasb,40
,
treasuremfess,39
,
TMZ,39
,
davidsirota,39
,
AynRandPaulRyan,39
,
EspuelasVox,39
,
MalcolmNance,39
,
Scout_Finch,39
,
EAristeguieta,39
,
shaunking,39
,
talliesinyoung,39
,
joelpollak,39
,
SenatorRomney,39
,
timkaine,39
,
GFiuza_Oficial,39
,
NCTsmtown,38
,
KylaInTheBurgh,38
,
GordonGChang,38
,
HC_Richardson,38
,
greggnunziata,38
,
nixw20,38
,
jonkarl,38
,
brabant_adam,38
,
David_Leavitt,38
,
realjunsonchan,38
,
wolfblitzer,38
,
FBI,38
,
jack,38
,
RashidaTlaib,38
,
StageTpop,38
,
ryanjreilly,38
,
RalstonReports,38
,
TimOBrien,38
,
DailyMail,38
,
nicktolhurst,38
,
BolsonaroSP,38
,
samanthamarika1,38
,
EdMarkey,38
,
vermontgmg,38
,
ChrisCuomo,38
,
replouiegohmert,38
,
gregorybrothers,38
,
HerschelWalker,37
,
catturd2,37
,
AaronParnas,37
,
maxschramp,37
,
AhmedBaba_,37
,
JamaalBowmanNY,37
,
Mediaite,37
,
goldengateblond,37
,
Vh1India,37
,
ReesusP,37
,
DavidLammy,37
,
JoshShapiroPA,37
,
politicususa,37
,
MichaelCohen212,37
,
kasie,37
,
BBCWorld,37
,
JYSexton,37
,
RepJoeNeguse,37
,
Chiefs,37
,
ScottMStedman,36
,
BombshellDAILY,36
,
GrandpaSnarky,36
,
kookiejoels,36
,
JohnMappin,36
,
SteveRustad1,36
,
DoYouEvenLif,36
,
DFBHarvard,36
,
john_sipher,36
,
MikeDelMoro,36
,
naima,36
,
ErrolWebber,36
,
elwasson,36
,
AnthonySabatini,36
,
CarlosCruz2016,36
,
tracybeanz,36
,
DavidAGoodman,36
,
NicholsUprising,35
,
GeorgiaDemocrat,35
,
GerryConnolly,35
,
navalny,35
,
Stonekettle,35
,
DeanBrowningPA,35
,
tonyposnanski,35
,
buwygfiib,35
,
mog7546,35
,
DoctorHenryCT,35
,
DemocracyInn,35
,
jadedcreative,35
,
benavey,35
,
kdd7696,35
,
Nigel_Farage,35
,
brunolp30,35
,
rebtanhs,35
,
tejasreina,35
,
ARMYINDOVOTE_,34
,
Mocraig13,34
,
MsLaToshaBrown,34
,
RepSchrader,34
,
60Minutes,34
,
maibortpetit,34
,
MuellerSheWrote,34
,
rulajebreal,34
,
LarrySabato,34
,
RoArquette,34
,
adamgoldmanNYT,34
,
ChristianWalk1r,34
,
ZaidSabah,34
,
Goss30Goss,34
,
Cirincione,34
,
jimmy_dore,34
,
BMeiselas,34
,
Pappiness,34
,
awprokop,34
,
FullFrontalSamB,34
,
JuliusGoat,33
,
ferbelaunzaran,33
,
KatrinaNation,33
,
TrentCapelli,33
,
Newsweek,33
,
OliviaTroye,33
,
CJ_isnowblue,33
,
bjrich_,33
,
ladygaga,33
,
michaelmalice,33
,
BP_VotingTeam,33
,
Teri_Kanefield,33
,
NumbersMuncher,33
,
BettyBowers,33
,
nhannahjones,33
,
thegoodgodabove,33
,
charliekirk11,33
,
kathrynresister,33
,
stephenasmith,33
,
Haggis_UK,33
,
jimmykimmel,33
,
Malinowski,33
,
natureofthings7,33
,
chelle_rcr,33
,
ktumulty,33
,
peterdaou,32
,
maddenifico,32
,
ECMcLaughlin,32
,
MichaelDeLauzon,32
,
VoLinxx,32
,
lisamurkowski,32
,
jxeker,32
,
TitusNation,32
,
EliseStefanik,32
,
Ojeda4America,32
,
thebias_news,32
,
bamableu,32
,
AnandWrites,32
,
RepGosar,32
,
NewsHour,32
,
josh_wingrove,32
,
ConradMBlack,32
,
BGOnTheScene,32
,
Rothbard1776,32
,
Snowden,32
,
SethColaner,32
,
stphnfwlr,31
,
Maestro_May9r,31
,
unwithBW,31
,
rickhasen,31
,
johnlegend,31
,
WhiteHouse,31
,
nedryun,31
,
Roshan_Rinaldi,31
,
NateSilver538,31
,
Wizard_Predicts,31
,
fake_biden,31
,
HeathMayo,31
,
LiteraryMouse,31
,
alexsalvinews,31
,
AymanM,31
,
RepJeffries,31
,
nycjim,31
,
AP_Politics,31
,
duckfignewtons,31
,
jules_su,31
,
DrOlufunmilayo,31
,
davidehrlich,31
,
PhillDKline,31
,
MarkMeadows,31
,
benandjerrys,31
,
ForTheRuleOfLaw,30
,
NCTDreamINA,30
,
pastorlocke,30
,
levparnas,30
,
joshscampbell,30
,
AlexandraChalup,30
,
CoryBooker,30
,
NYinLA2121,30
,
EarlOfEnough,30
,
OfficialMonstaX,30
,
BoutrousTed,30
,
TIME,30
,
AndrewYang,30
,
el_pais,30
,
Javierito321,30
,
AmyMcGrathKY,30
,
jimbourg,30
,
YahooNews,30
,
daveypinks,30
,
cbouzy,30
,
AdamSchiff,30
,
ChristopherJM,30
,
guypbenson,30
,
UberFacts,30
,
mattsheffield,30
,
miotei,30
,
JoshuaMatz8,30
,
MilesTaylorUSA,30
,
X22Report,30
,
JovanHPulitzer,30
,
PeteHegseth,30
,
DrKarlynB,30
,
SebGorka,29
,
wdunlap,29
,
ECrumrine,29
,
JonahDispatch,29
,
juliettekayyem,29
,
LincolnsBible,29
,
JulianCastro,29
,
Frank_Schaeffer,29
,
stoolpresidente,29
,
ForestAutonomy,29
,
RottenInDenmark,29
,
AndyOstroy,29
,
AnIllicitWriter,29
,
McCormackJohn,29
,
bhweingarten,29
,
kpopidol_en,29
,
CNBC,29
,
Kokomothegreat,29
,
ChrisMegerian,29
,
_cingraham,29
,
anneapplebaum,29
,
WilliamTurton,29
,
3days3nights,29
,
mayaharris_,29
,
pedstk_ac130,29
,
bryanedwardhill,29
,
USRepMikeDoyle,29
,
DailyCaller,28
,
Partisangirl,28
,
shomaristone,28
,
jbarro,28
,
ldpsincomplejos,28
,
michaeljknowles,28
,
eugenegu,28
,
TheGoodLiars,28
,
selectedwisdom,28
,
MonstaXVotingSQ,28
,
Ruth_HHopkins,28
,
OrbitaEduardo,28
,
RepJamesComer,28
,
notcapnamerica,28
,
jbendery,28
,
alexbruesewitz,28
,
tomselliott,28
,
DerekCressman,28
,
maziehirono,28
,
NikoNe_san_2525,28
,
TheLastRefuge2,28
,
Joy_Villa,28
,
TheLeadCNN,28
,
JesseRodriguez,28
,
_SJPeace_,28
,
edthahead,28
,
L0VESICKGOGY,28
,
BillHagertyTN,28
,
politicoalex,28
,
edmnangagwa,28
,
Fresh_Logic,28
,
pakjeprii,27
,
LeahR77,27
,
Trey_VonDinkis,27
,
MMFlint,27
,
mattyglesias,27
,
UROCKlive1,27
,
HuffPostPol,27
,
va_shiva,27
,
ThomasSowell,27
,
schwartzbCNBC,27
,
AllenLEllison,27
,
MingGao26,27
,
smc429,27
,
AuthorKimberley,27
,
CNNSotu,27
,
chaser,27
,
4everNeverTrump,27
,
conexaopolitica,27
,
drippin,27
,
senrobportman,27
,
RichardDawkins,27
,
AriMelber,27
,
AriFleischer,27
,
markmobility,27
,
JudiciaryGOP,27
,
alexnazaryan,27
,
MikeBalsamo1,27
,
jbouie,27
,
NancySinatra,27
,
AttorneyCrump,27
,
SohrabAhmari,27
,
JonFlan,27
,
PeterAlexander,27
,
JStein_WaPo,27
,
LALewman,27
,
PaulBegala,27
,
WesleyLowery,27
,
dpakman,27
,
johniadarola,27
,
itsLaycon,27
,
WW_NEWS_,27
,
dereckapurnell,27
,
SenRonJohnson,26
,
JamesGunn,26
,
BeSmoove7,26
,
Savage_Schmidt,26
,
BillOReilly,26
,
BandyXLee1,26
,
TheOfficerTatum,26
,
Hanielino,26
,
LifeNewsHQ,26
,
Menegov_,26
,
MaxBoot,26
,
PanAmPost_es,26
,
SharylAttkisson,26
,
VoteBH_2020,26
,
whstancil,26
,
kurteichenwald,26
,
LOLGOP,26
,
middleageriot,26
,
RealSaavedra,26
,
BethLynch2020,26
,
pbump,26
,
mekkaokereke,26
,
CongressmanRaja,26
,
davidgura,26
,
owillis,26
,
AmyEGardner,26
,
justinbaragona,26
,
RonnyJacksonTX,26
,
CNBCnow,26
,
AshleyRParker,26
,
OverlordEXO,26
,
PelosiBurner,26
,
SenBobCorker,26
,
RichardEngel,26
,
happyroadkill,26
,
SenatorTimScott,25
,
fanplus_app,25
,
PresidencialVE,25
,
Cernovich,25
,
MichaelRapaport,25
,
UnSubtleDesi,25
,
DavidPepper,25
,
madrid_mike,25
,
itvnews,25
,
MartynMcL,25
,
JamesNavaCom,25
,
TXT_members,25
,
Quicktake,25
,
BlackCatUnloads,25
,
oXxRowanxXo,25
,
TheEconomist,25
,
felipeneto,25
,
Alyssa_Milano,25
,
DeaconBlues0,25
,
JasonOverstreet,25
,
NewYorker,25
,
american2084,25
,
jennfranconews,25
,
gabrielsherman,25
,
covie_93,25
,
saraecook,25
,
briebriejoy,25
,
Lollardfish,25
,
HouseGOP,25
